comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,middle_order,Henan Nazir,Jammu & Kashmir,MC Juneja,Delhi Capitals,1,64.23
batting,middle_order,Henan Nazir,Jammu & Kashmir,WA Mota,Punjab Kings,2,61.54
batting,middle_order,Henan Nazir,Jammu & Kashmir,GH Vihari,Sunrisers Hyderabad,3,49.7
batting,middle_order,J Anderson,Mizoram,MS Wade,Gujarat Titans,1,73.79
batting,middle_order,J Anderson,Mizoram,N Saini,Punjab Kings,2,62.91
batting,middle_order,J Anderson,Mizoram,AA Bilakhia,Sunrisers Hyderabad,3,57.52
batting,middle_order,Joseph Lalthankhuma,Mizoram,CJ Ferguson,Pune Warriors,1,89.78
batting,middle_order,Joseph Lalthankhuma,Mizoram,AD Nath,Royal Challengers Bengaluru,2,80.8
batting,middle_order,Joseph Lalthankhuma,Mizoram,GH Vihari,Sunrisers Hyderabad,3,72.5
batting,middle_order,Kangabam Singh,Manipur,CJ Ferguson,Pune Warriors,1,85.64
batting,middle_order,Kangabam Singh,Manipur,GH Vihari,Sunrisers Hyderabad,2,80.21
batting,middle_order,Kangabam Singh,Manipur,AD Nath,Royal Challengers Bengaluru,3,67.88
batting,middle_order,Karan Lal,Bengal,LA Carseldine,Rajasthan Royals,1,60.56
batting,middle_order,Karan Lal,Bengal,Sohail Tanvir,Rajasthan Royals,2,49.4
batting,middle_order,Karan Lal,Bengal,Shoaib Malik,Delhi Capitals,3,45.32
batting,middle_order,Lalhruaizela,Mizoram,CJ Ferguson,Pune Warriors,1,84.73
batting,middle_order,Lalhruaizela,Mizoram,GH Vihari,Sunrisers Hyderabad,2,79.52
batting,middle_order,Lalhruaizela,Mizoram,AA Bilakhia,Sunrisers Hyderabad,3,79.27
batting,middle_order,Mohit Jangra,Mizoram,AJ Turner,Rajasthan Royals,1,71.08
batting,middle_order,Mohit Jangra,Mizoram,Vishnu Vinod,Royal Challengers Bengaluru,2,68.47
batting,middle_order,Mohit Jangra,Mizoram,SS Prabhudessai,Royal Challengers Bengaluru,3,62.74
batting,middle_order,Naman Dhir,Punjab,Sunny Singh,Punjab Kings,1,66.77
batting,middle_order,Naman Dhir,Punjab,Kartik Sharma,Chennai Super Kings,2,62.06
batting,middle_order,Naman Dhir,Punjab,AJ Turner,Rajasthan Royals,3,52.29
batting,middle_order,Rex Rajkumar,Manipur,M Kaif,Rajasthan Royals,1,86.29
batting,middle_order,Rex Rajkumar,Manipur,MN Samuels,Pune Warriors,2,80.83
batting,middle_order,Rex Rajkumar,Manipur,SB Styris,Sunrisers Hyderabad,3,75.32
batting,middle_order,SK Gharami,Bengal,AA Bilakhia,Sunrisers Hyderabad,1,73.29
batting,middle_order,SK Gharami,Bengal,MS Wade,Gujarat Titans,2,58.09
batting,middle_order,SK Gharami,Bengal,N Saini,Punjab Kings,3,55.12
batting,middle_order,SS Sharma,Baroda,PHKD Mendis,Sunrisers Hyderabad,1,79.22
batting,middle_order,SS Sharma,Baroda,SS Tiwary,Mumbai Indians,2,71.4
batting,middle_order,SS Sharma,Baroda,MK Tiwary,Kolkata Knight Riders,3,67.75
batting,middle_order,Sanjeet Desai,Chhattisgarh,KS Bharat,Royal Challengers Bengaluru,1,49.27
batting,middle_order,Sanjeet Desai,Chhattisgarh,Harpreet Singh,Punjab Kings,2,44.07
batting,middle_order,Sanjeet Desai,Chhattisgarh,IK Pathan,Delhi Capitals,3,41.21
batting,middle_order,Shahbaz Ahmed,Bengal,DJG Sammy,Sunrisers Hyderabad,1,80.58
batting,middle_order,Shahbaz Ahmed,Bengal,Washington Sundar,Royal Challengers Bengaluru,2,76.82
