player,team,matches,innings,runs,balls_faced,fours,sixes,dismissals,not_outs,high_score,ducks,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,strike_rate,average,pp_strike_rate,mid_strike_rate,death_strike_rate,batting_phase,sample_reliability_score,balls_faced_per_match,boundary_rate,six_rate,four_rate,dot_ball_rate,season_start_year
Rahul Tewatia,Gujarat Titans,15,15,190,132,20,8,7,8,68,1,0,2,79,58,111,72,47,143.94,27.14,0.0,136.21,154.17,death_strike_rate,1.0,8.8,0.212,0.061,0.152,0.356,2026
Raj Bawa,Mumbai Indians,1,1,16,14,1,0,1,0,16,0,0,0,0,0,16,14,6,114.29,16.0,,,114.29,death_strike_rate,0.121,14.0,0.071,0.0,0.071,0.429,2026
Rajat Patidar,Royal Challengers Bengaluru,14,14,500,259,30,42,12,2,93,0,37,43,321,159,142,57,68,193.05,41.67,86.05,201.89,249.12,death_strike_rate,1.0,18.5,0.278,0.162,0.116,0.263,2026
Ramandeep Singh,Kolkata Knight Riders,6,6,82,68,8,2,5,1,35,0,0,0,31,40,51,28,24,120.59,16.4,,77.5,182.14,death_strike_rate,0.658,11.33,0.147,0.029,0.118,0.353,2026
Rashid Khan,Gujarat Titans,6,6,50,41,4,2,4,2,24,0,0,0,19,21,31,20,17,121.95,12.5,,90.48,155.0,death_strike_rate,0.546,6.83,0.146,0.049,0.098,0.415,2026
Rasikh Salam Dar,Royal Challengers Bengaluru,1,1,3,2,0,0,0,1,3,0,0,0,0,0,3,2,0,150.0,,,,150.0,death_strike_rate,0.071,2.0,0.0,0.0,0.0,0.0,2026
Ravi Bishnoi,Rajasthan Royals,2,2,0,3,0,0,2,0,0,2,0,0,0,0,0,3,3,0.0,0.0,,,0.0,death_strike_rate,0.138,1.5,0.0,0.0,0.0,1.0,2026
Ravi Singh,Rajasthan Royals,1,1,4,2,1,0,1,0,4,0,0,0,4,2,0,0,1,200.0,4.0,,200.0,,mid_strike_rate,0.071,2.0,0.5,0.0,0.5,0.5,2026
Ravindra Jadeja,Rajasthan Royals,11,11,266,197,24,5,4,7,45,0,53,22,109,101,104,74,56,135.03,66.5,240.91,107.92,140.54,pp_strike_rate,1.0,17.91,0.147,0.025,0.122,0.284,2026
Rinku Singh,Kolkata Knight Riders,11,12,299,199,28,11,5,7,83,1,4,1,112,103,183,95,56,150.25,59.8,400.0,108.74,192.63,pp_strike_rate,1.0,18.09,0.196,0.055,0.141,0.281,2026
Rishabh Pant,Lucknow Super Giants,13,14,313,228,30,11,9,5,68,1,49,52,169,130,95,46,78,137.28,34.78,94.23,130.0,206.52,death_strike_rate,1.0,17.54,0.18,0.048,0.132,0.342,2026
