player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
DS Lehmann,5.0,5.0,5,5,5,middle_order
DS Rathi,10.5,10.5,10,11,10,tailender
DT Christian,5.7560975609756095,6.0,3,8,6,middle_order
DT Patil,7.5,7.5,7,8,7,lower_order
DV Malewar,1.0,1.0,1,1,1,opener
DW Steyn,9.243243243243244,9.0,8,11,9,tailender
Dhruv Jurel,5.133333333333334,5.0,3,8,5,middle_order
E Lewis,1.8076923076923077,1.0,1,6,1,opener
EJG Morgan,4.586666666666667,5.0,1,7,5,middle_order
ER Dwivedi,5.0,5.0,2,8,2,opener
F Behardien,6.333333333333333,6.0,6,7,6,middle_order
F du Plessis,1.7142857142857142,1.0,1,7,1,opener
FA Allen,7.0,7.0,6,8,7,lower_order
FH Allen,1.8,2.0,1,2,2,opener
FH Edwards,8.5,8.5,8,9,8,lower_order
FY Fazal,3.5454545454545454,3.0,1,8,3,top_order
Fazalhaq Farooqi,11.0,11.0,11,11,11,tailender
G Coetzee,8.571428571428571,9.0,8,9,9,tailender
G Gambhir,1.5657894736842106,1.0,1,6,1,opener
GB Hogg,9.333333333333334,9.0,8,11,8,lower_order
GC Smith,1.0689655172413792,1.0,1,3,1,opener
GC Viljoen,8.0,8.0,7,9,7,lower_order
GD McGrath,11.0,11.0,11,11,11,tailender
GD Phillips,5.153846153846154,5.0,4,6,5,middle_order
GF Linde,8.0,8.0,8,8,8,lower_order
GH Vihari,4.608695652173913,4.0,3,8,3,top_order
GHS Garton,8.333333333333334,8.0,8,9,8,lower_order
GJ Bailey,4.864864864864865,5.0,1,7,5,middle_order
GJ Maxwell,4.162962962962963,4.0,1,6,4,top_order
GR Napier,6.0,6.0,6,6,6,middle_order
Gulbadin Naib,7.0,7.0,7,7,7,lower_order
Gurkeerat Singh,5.78125,6.0,3,8,7,lower_order
H Das,8.0,8.0,8,8,8,lower_order
H Klaasen,4.722222222222222,5.0,2,6,5,middle_order
HC Brook,3.272727272727273,4.0,1,6,1,opener
HE van der Dussen,5.333333333333333,5.0,4,7,4,top_order
HF Gurney,11.0,11.0,11,11,11,tailender
HH Gibbs,2.1666666666666665,2.0,1,3,2,opener
HH Pandya,5.272108843537415,5.0,3,8,6,middle_order
HM Amla,1.125,1.0,1,3,1,opener
HR Shokeen,7.833333333333333,8.5,6,9,9,tailender
HV Patel,8.25,8.0,5,10,9,tailender
Harbhajan Singh,7.344444444444444,8.0,3,10,8,lower_order
Harmeet Singh,9.833333333333334,10.0,9,11,10,tailender
Harpreet Brar,8.153846153846153,8.0,6,10,8,lower_order
Harpreet Singh,5.75,5.0,4,8,5,middle_order
Harsh Dubey,8.0,8.0,8,8,8,lower_order
Harshit Rana,9.8,10.0,9,11,9,tailender
Himmat Singh,6.666666666666667,7.0,6,7,7,lower_order
I Malhotra,7.0,7.0,7,7,7,lower_order
I Sharma,10.107142857142858,10.0,8,11,10,tailender
I Udana,8.0,8.0,8,8,8,lower_order
IC Pandey,10.0,10.0,10,10,10,tailender
IK Pathan,5.890243902439025,6.0,1,8,6,middle_order
IR Jaggi,3.857142857142857,5.0,1,6,1,opener
IS Sodhi,9.0,9.0,9,9,9,tailender
Imran Tahir,10.222222222222221,10.0,9,11,10,tailender
Iqbal Abdulla,9.153846153846153,9.0,8,11,8,lower_order
Ishan Kishan,2.6363636363636362,3.0,1,8,1,opener
J Arunkumar,1.0,1.0,1,1,1,opener
J Botha,5.428571428571429,6.0,3,8,6,middle_order
J Fraser-McGurk,1.8666666666666667,2.0,1,3,2,opener
J Overton,7.625,8.0,7,8,8,lower_order
J Suchith,7.8,8.0,6,9,8,lower_order
J Syed Mohammad,8.0,7.0,7,10,7,lower_order
J Theron,9.0,9.0,9,9,9,tailender
J Yadav,8.4,8.0,8,9,8,lower_order
JA Morkel,5.9411764705882355,6.0,3,8,5,middle_order
JA Richardson,7.666666666666667,7.0,7,9,7,lower_order
JC Archer,7.8108108108108105,8.0,1,10,8,lower_order
JC Buttler,2.3359375,2.0,1,6,1,opener
JD Ryder,1.103448275862069,1.0,1,2,1,opener
JD Unadkat,9.454545454545455,10.0,7,11,10,tailender
JDP Oram,5.833333333333333,6.0,5,7,6,middle_order
JDS Neesham,6.8,7.0,6,8,7,lower_order
JE Root,4.0,4.0,4,4,4,top_order
JE Taylor,8.5,8.5,8,9,8,lower_order
JEC Franklin,3.8125,5.0,1,7,1,opener
JG Bethell,1.0,1.0,1,1,1,opener
JH Kallis,2.25,2.0,1,4,1,opener
JJ Bumrah,10.272727272727273,10.0,9,11,10,tailender
JJ Roy,1.7619047619047619,1.0,1,6,1,opener
JJ van der Wath,8.0,8.0,8,8,8,lower_order
JL Denly,1.0,1.0,1,1,1,opener
JL Pattinson,8.5,8.5,8,9,8,lower_order
JM Bairstow,1.8653846153846154,2.0,1,5,2,opener
JM Kemp,5.5,5.5,5,6,5,middle_order
JM Sharma,5.481481481481482,5.0,4,7,5,middle_order
JO Holder,6.896551724137931,7.0,4,9,7,lower_order
JP Behrendorff,10.5,10.5,10,11,10,tailender
JP Duminy,4.441558441558442,4.0,1,8,5,middle_order
JP Faulkner,6.888888888888889,7.0,3,9,7,lower_order
JP Inglis,3.8181818181818183,3.0,3,6,3,top_order
JPR Scantlebury-Searles,8.0,8.0,8,8,8,lower_order
JR Hazlewood,10.75,11.0,10,11,11,tailender
JR Hopes,3.0,1.0,1,8,1,opener
JR Philippe,3.0,2.0,2,6,2,opener
Jaskaran Singh,9.2,9.0,8,10,9,tailender
Joginder Sharma,8.333333333333334,8.0,8,9,8,lower_order
K Goel,3.0,2.0,1,8,1,opener
K Gowtham,7.037037037037037,7.0,3,8,8,lower_order
K Kartikeya,9.5,9.5,9,10,9,tailender
K Rabada,8.942857142857143,9.0,7,11,9,tailender
K Upadhyay,11.0,11.0,11,11,11,tailender
K Yadav,10.0,10.0,10,10,10,tailender
KA Jamieson,8.2,8.0,6,11,8,lower_order
KA Maharaj,8.0,8.0,8,8,8,lower_order
KA Pollard,5.47953216374269,5.0,3,8,5,middle_order
KAJ Roach,9.0,9.0,9,9,9,tailender
KB Arun Karthik,6.625,7.0,6,7,7,lower_order
KC Cariappa,9.6,10.0,9,10,10,tailender
KC Sangakkara,3.176470588235294,3.0,1,5,3,top_order
