player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,cluster_id,cluster_label,archetype_role,archetype_role_match_score
AV Rajput,171,8,140,14,7,7,21.38,61,0,0.125,1,0.125,20.94,3,1,0.375,0.125,122.14,0.15,0.05,0.1,0.573,0.421,37,82,52,44,63,33,0.216,0.48,0.304,84.09,130.16,157.58,death,19.8,24.0,17.5,1.0,Baroda,2024,4.375,4.5,2,7,2,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AV Wankhade,835,32,612,45,40,21,26.09,71,1,0.344,0,0.0,17.55,13,3,0.406,0.094,136.44,0.139,0.065,0.074,0.503,0.278,18,371,446,21,324,267,0.022,0.444,0.534,85.71,114.51,167.04,death,26.41,25.73,19.12,1.0,Vidarbha,2024,5.09375,5.0,2,7,5,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
Aakash Verma,16,3,23,2,0,3,5.33,10,0,0.0,1,0.333,5.03,0,0,0.0,0.0,69.57,0.087,0.0,0.087,0.5,0.739,16,0,0,23,0,0,1.0,0.0,0.0,69.57,,,powerplay,,5.33,7.67,0.283,Railways,2017,2.0,2.0,1,3,1,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
Aanshul Gupta,214,13,209,14,5,13,16.46,39,0,0.0,2,0.154,13.62,3,0,0.231,0.0,102.39,0.091,0.024,0.067,0.402,0.359,97,107,10,104,95,10,0.453,0.5,0.047,93.27,112.63,100.0,middle,22.6,12.62,16.08,1.0,Services,2021,2.230769230769231,2.0,1,6,1,opener,anchor_opener,True,1,batting_tailender_cluster_1,tailender,0.0
Aarya Desai,99,4,80,8,6,4,24.75,44,2,0.0,0,0.0,17.31,1,0,0.25,0.0,123.75,0.175,0.075,0.1,0.687,0.462,37,62,0,45,35,0,0.374,0.626,0.0,82.22,177.14,,middle,32.33,2.0,20.0,0.583,Gujarat,2023,2.5,2.0,1,5,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Abdul Samad,428,16,308,30,25,10,26.75,76,0,0.375,1,0.062,18.02,7,1,0.438,0.062,138.96,0.179,0.081,0.097,0.631,0.36,83,207,138,70,168,70,0.194,0.484,0.322,118.57,123.21,197.14,death,39.0,19.4,19.25,1.0,Jammu & Kashmir,2023,3.4375,3.5,1,6,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Abhay,1,3,14,0,0,2,0.33,1,0,0.333,2,0.667,0.58,0,0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.929,0,0,1,0,7,7,0.0,0.0,1.0,,0.0,14.29,death,,0.33,4.67,0.246,Mizoram,2019,6.666666666666667,6.0,6,8,6,middle_order,middle_order,True,2,batting_tailender_cluster_2,tailender,0.0
Abhay Negi,173,13,125,13,10,10,13.31,50,0,0.231,1,0.077,13.76,1,1,0.077,0.077,138.4,0.184,0.08,0.104,0.647,0.392,3,59,111,12,46,67,0.017,0.341,0.642,25.0,128.26,165.67,death,17.25,11.56,9.62,1.0,Meghalaya,2020,6.3076923076923075,6.0,5,8,6,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
Abhilash Gogoi,20,4,22,2,0,3,5.0,8,0,0.25,1,0.25,3.46,0,0,0.0,0.0,90.91,0.091,0.0,0.091,0.4,0.455,0,0,20,0,0,22,0.0,0.0,1.0,,,90.91,death,,5.0,5.5,0.342,Assam,2019,9.0,9.0,9,9,9,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Abhimanyu Rana,240,14,222,26,7,12,17.14,72,0,0.143,3,0.214,20.74,2,1,0.143,0.071,108.11,0.149,0.032,0.117,0.608,0.486,153,77,10,164,51,7,0.638,0.321,0.042,93.29,150.98,142.86,middle,20.11,11.8,15.86,1.0,Himachal,2022,2.0714285714285716,1.0,1,7,1,opener,anchor_opener,True,1,batting_tailender_cluster_1,tailender,0.0
